Product Name,Maker,Color,Model,Category,Balance Qty,Minimum Qty,Discount %
UNIT -- LCD APPLE IPHONE 6 BLACK,APPLE,BLACK,IPHONE 6,LCD,655,1,0
UNIT -- LCD APPLE IPHONE 6 WHITE,APPLE,WHITE,IPHONE 6,LCD,3,1,0
UNIT -- LCD APPLE IPHONE 6S WHITE,APPLE,WHITE,IPHONE 6S,LCD,0,1,0
UNIT -- LCD APPLE IPHONE 6S BLACK,APPLE,BLACK,IPHONE 6S,LCD,604,1,0
UNIT -- LCD APPLE IPHONE 7 BLACK,APPLE,BLACK,IPHONE 7,LCD,412,1,0
UNIT -- LCD APPLE IPHONE 7 WHITE,APPLE,WHITE,IPHONE 7,LCD,277,1,0
UNIT -- LCD APPLE IPHONE 7 PLUS WHITE,APPLE,WHITE,IPHONE 7 PLUS,LCD,387,1,0
UNIT -- LCD APPLE IPHONE 7 PLUS BLACK,APPLE,BLACK,IPHONE 7 PLUS,LCD,0,1,0
UNIT -- LCD APPLE IPHONE 6 PLUS BLACK,APPLE,BLACK,IPHONE 6 PLUS,LCD,682,1,0
UNIT -- LCD APPLE IPHONE 6 PLUS WHITE,APPLE,WHITE,IPHONE 6 PLUS,LCD,313,1,0
UNIT -- LCD APPLE IPHONE 6S PLUS WHITE,APPLE,WHITE,IPHONE 6S PLUS,LCD,0,1,0
UNIT -- LCD APPLE IPHONE 6S PLUS BLACK,APPLE,BLACK,IPHONE 6S PLUS,LCD,347,1,0
UNIT -- LCD SAM J5 PRIME GOLD,SAM,GOLD,J5 PRIME,LCD,2298,1,0
UNIT -- LCD SAM J5 PRIME WHITE,SAM,WHITE,J5 PRIME,LCD,0,1,0
UNIT -- LCD SAM J5 PRIME BLACK,SAM,BLACK,J5 PRIME,LCD,1623,1,0
UNIT -- LCD SAM J7 PRIME BLACK,SAM,BLACK,J7 PRIME,LCD,953,1,0
UNIT ONCELL -- LCD SAM J7 PRIME WHITE,SAM,WHITE,J7 PRIME,LCD,0,1,0
UNIT -- LCD SAM J7 PRIME GOLD,SAM,GOLD,J7 PRIME,LCD,321,1,0
UNIT IC -- LED SAM A710 WHITE,SAM,WHITE,A710,LED,0,1,0
UNIT IC -- LED SAM A710 BLACK,SAM,BLACK,A710,LED,0,1,0
UNIT -- LCD OPPO A37 WHITE,OPPO,WHITE,A37,LCD,353,1,0
UNIT -- LCD OPPO A37 BLACK,OPPO,BLACK,A37,LCD,149,1,0
UNIT -- LCD OPPO A57 BLACK,OPPO,BLACK,A57,LCD,0,1,0
BQ -- LCD OPPO A57 WHITE,OPPO,WHITE,A57,LCD,1719,1,0
UNIT -- LCD OPPO F1S WHITE,OPPO,WHITE,F1S,LCD,0,1,0
UNIT -- LCD OPPO F1S BLACK,OPPO,BLACK,F1S,LCD,1367,1,0
UNIT -- LCD OPPO F3 WHITE,OPPO,WHITE,F3,LCD,747,1,0
UNIT -- LCD OPPO F3 BLACK,OPPO,BLACK,F3,LCD,379,1,0
BQ IC -- LED SAM J730 BLACK,SAM,BLACK,J730,LED,0,1,0
BQ IC -- LED SAM J730 GOLD,SAM,GOLD,J730,LED,0,1,0
BQ IC -- LED SAM J730 SKY BLUE,SAM,SKY BLUE,J730,LED,0,1,0
UNIT -- LCD SAM J330 GOLD,SAM,GOLD,J330,LCD,255,1,0
UNIT IC -- LED SAM A720 BLACK,SAM,BLACK,A720,LED,0,1,0
UNIT IC -- LED SAM A720 GOLD,SAM,GOLD,A720,LED,1,1,0
UNIT IC -- LED SAM A720 SKY BLUE,SAM,SKY BLUE,A720,LED,0,1,0
UNIT -- LCD APPLE IPHONE 8 WHITE,APPLE,WHITE,IPHONE 8,LCD,56,1,0
UNIT -- LCD APPLE IPHONE 8 BLACK,APPLE,BLACK,IPHONE 8,LCD,287,1,0
UNIT -- LCD APPLE IPHONE 8 PLUS BLACK,APPLE,BLACK,IPHONE 8 PLUS,LCD,177,1,0
UNIT -- LCD APPLE IPHONE 8 PLUS WHITE,APPLE,WHITE,IPHONE 8 PLUS,LCD,0,1,0
UNIT -- LCD SAM J330 BLACK,SAM,BLACK,J330,LCD,140,1,0
UNIT -- LCD OPPO F5 WHITE,OPPO,WHITE,F5,LCD,137,1,0
UNIT -- LCD OPPO F5 BLACK,OPPO,BLACK,F5,LCD,99,1,0
UNIT -- LCD HUAWEI P8 LITE GOLD,HUAWEI,GOLD,P8 LITE,LCD,218,1,0
UNIT -- LCD HUAWEI P8 LITE WHITE,HUAWEI,WHITE,P8 LITE,LCD,143,1,0
UNIT -- LCD HUAWEI P8 LITE BLACK,HUAWEI,BLACK,P8 LITE,LCD,213,1,0
